"filename", "language", "Ini", "C++", "Python", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\protocol\transport\fragmentation_transport.cpp", "C++", 0, 130, 0, 0, 0, 15, 27, 172
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\protocol\transport\fragmentation_transport.h", "C++", 0, 31, 0, 0, 0, 57, 22, 110
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\protocol\transport\imessage_transport.h", "C++", 0, 10, 0, 0, 0, 18, 4, 32
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\beacon_counter.cpp", "C++", 0, 41, 0, 0, 0, 2, 15, 58
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\beacon_counter.h", "C++", 0, 25, 0, 0, 0, 40, 19, 84
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\crypto_service.cpp", "C++", 0, 102, 0, 0, 0, 0, 14, 116
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\crypto_service.h", "C++", 0, 27, 0, 0, 0, 63, 11, 101
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\display_controller.cpp", "C++", 0, 54, 0, 0, 0, 1, 13, 68
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\display_controller.h", "C++", 0, 22, 0, 0, 0, 40, 15, 77
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\key_manager.cpp", "C++", 0, 152, 0, 0, 0, 7, 32, 191
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\key_manager.h", "C++", 0, 44, 0, 0, 0, 43, 29, 116
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\led_controller.cpp", "C++", 0, 52, 0, 0, 0, 1, 14, 67
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\led_controller.h", "C++", 0, 23, 0, 0, 0, 33, 16, 72
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\system_monitor.cpp", "C++", 0, 11, 0, 0, 0, 3, 5, 19
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\utils\system_monitor.h", "C++", 0, 11, 0, 0, 0, 12, 4, 27
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\test.py", "Python", 0, 0, 22, 0, 0, 10, 13, 45
"Total", "-", 19, 2656, 22, 96, 30, 1086, 915, 4824
